customerid,last_purchase_date,frequency,monetary,recency,r_score,f_score,m_score,segment
12346.0,2011-01-18 10:01:00,1,77183.6,326,5,4,1,Loyal customers
12347.0,2011-12-07 15:52:00,7,4310.0,2,1,1,1,Inactive customers
12348.0,2011-09-25 13:13:00,4,1797.24,75,4,2,2,New customers
12349.0,2011-11-21 09:51:00,1,1757.55,19,2,4,2,At-risk customers
12350.0,2011-02-02 16:01:00,1,334.4,310,5,4,4,High-value customers
12352.0,2011-11-03 14:37:00,8,2506.04,36,3,1,1,Inactive customers
12353.0,2011-05-19 17:47:00,1,89.0,204,5,4,5,High-value customers
12354.0,2011-04-21 13:11:00,1,1079.4,232,5,4,2,Loyal customers
12355.0,2011-05-09 13:49:00,1,459.4,214,5,4,4,High-value customers
12356.0,2011-11-17 08:40:00,3,2811.43,23,2,2,1,At-risk customers
12357.0,2011-11-06 16:07:00,1,6207.67,33,2,4,1,At-risk customers
12358.0,2011-12-08 10:26:00,2,1168.06,2,1,3,2,At-risk customers
12359.0,2011-10-13 12:47:00,4,6372.58,58,3,2,1,Inactive customers
12360.0,2011-10-18 15:22:00,3,2662.06,52,3,2,1,Inactive customers
12361.0,2011-02-25 13:51:00,1,189.9,287,5,4,5,High-value customers
12362.0,2011-12-06 15:40:00,10,5226.23,3,1,1,1,Inactive customers
12363.0,2011-08-22 10:18:00,2,552.0,110,4,3,3,Regular customers
12364.0,2011-12-02 10:22:00,4,1313.1,8,1,2,2,At-risk customers
12365.0,2011-02-21 14:04:00,2,641.38,291,5,3,3,Regular customers
12367.0,2011-12-05 16:48:00,1,168.9,4,1,4,5,Regular customers
12370.0,2011-10-19 14:51:00,4,3545.69,51,3,2,1,Inactive customers
12371.0,2011-10-26 10:16:00,2,1887.96,45,3,3,2,Inactive customers
12372.0,2011-09-29 12:12:00,3,1298.04,72,3,2,2,Inactive customers
12373.0,2011-02-01 13:10:00,1,364.6,311,5,4,4,High-value customers
12374.0,2011-11-14 15:37:00,1,742.9300000000001,25,2,4,3,Regular customers
12375.0,2011-11-29 10:36:00,2,457.5,11,1,3,4,Regular customers
12377.0,2011-01-28 15:45:00,2,1628.12,315,5,3,2,Inactive customers
