sale_date,revenue,prev_day_revenue,revenue_7_days_ago,revenue_14_days_ago,rolling_7d_avg,rolling_30d_avg,rolling_7d_std,day_of_week,month,weekend,target_next_day_revenue
2010-12-31,0.0,0.0,0.0,20046.56,0.0,19090.463,0.0,Friday,December,0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,17544.58,0.0,Saturday,January,1,0.0
2011-01-02,0.0,0.0,0.0,7417.39,0.0,15967.362333333333,0.0,Sunday,January,1,0.0
2011-01-03,0.0,0.0,0.0,19621.96,0.0,15169.972000000002,0.0,Monday,January,0,12125.460000000001
2011-01-04,12125.460000000001,0.0,0.0,15951.66,0.0,15169.972000000002,0.0,Tuesday,January,0,28803.63
2011-01-05,28803.63,12125.460000000001,0.0,4886.52,1732.2085714285715,14515.100666666665,4582.993098894465,Wednesday,January,0,34360.19
2011-01-06,34360.19,28803.63,0.0,5648.97,5847.012857142858,14434.700333333334,11085.74885402683,Thursday,January,0,23797.79
2011-01-07,23797.79,34360.19,0.0,0.0,10755.611428571428,13786.863,14986.1953021644,Friday,January,0,0.0
2011-01-08,0.0,23797.79,0.0,0.0,14155.295714285716,13271.828666666668,14838.16346338371,Saturday,January,1,15778.2
2011-01-09,15778.2,0.0,0.0,0.0,14155.295714285716,11997.432,14838.16346338371,Sunday,January,1,15346.83
2011-01-10,15346.83,15778.2,0.0,0.0,16409.324285714287,11401.696000000002,13464.295239339312,Monday,January,0,60268.78
2011-01-11,60268.78,15346.83,12125.460000000001,0.0,18601.72857142857,11913.257,11445.086227153599,Tuesday,January,0,17153.94
2011-01-12,17153.94,60268.78,28803.63,0.0,25479.34571428571,13345.357333333335,18925.42289125826,Wednesday,January,0,15171.31
2011-01-13,15171.31,17153.94,34360.19,0.0,23815.104285714282,12995.732666666669,19095.82592804412,Thursday,January,0,39532.02
2011-01-14,39532.02,15171.31,23797.79,0.0,21073.83571428571,12524.033000000001,18703.020613937257,Friday,January,0,0.0
2011-01-15,0.0,39532.02,0.0,0.0,23321.582857142854,12831.376333333332,19986.395165042242,Saturday,January,1,7242.06
2011-01-16,7242.06,0.0,15778.2,0.0,23321.582857142854,11197.040333333332,19986.395165042242,Sunday,January,1,16597.35
2011-01-17,16597.35,7242.06,15346.83,0.0,22102.13428571428,10770.223666666665,20768.465666384585,Monday,January,0,87589.11
2011-01-18,87589.11,16597.35,60268.78,12125.460000000001,22280.78,11323.468666666666,20705.95772080989,Tuesday,January,0,21646.78
2011-01-19,21646.78,87589.11,17153.94,28803.63,26183.684285714284,13995.859333333332,29686.925576647856,Wednesday,January,0,15244.73
2011-01-20,15244.73,21646.78,15171.31,34360.19,26825.518571428573,14063.353333333333,29507.18799727926,Thursday,January,0,24279.76
2011-01-21,24279.76,15244.73,39532.02,23797.79,26836.007142857143,14039.788999999999,29502.367637981035,Friday,January,0,0.0
2011-01-22,0.0,24279.76,0.0,0.0,24657.11285714286,14686.230333333335,28966.79355258346,Saturday,January,1,10400.25
2011-01-23,10400.25,0.0,7242.06,15778.2,24657.11285714286,14497.931333333334,28966.79355258346,Sunday,January,1,17632.37
2011-01-24,17632.37,10400.25,16597.35,15346.83,25108.282857142858,14844.606333333333,28673.448706180963,Monday,January,0,24119.3
2011-01-25,24119.3,17632.37,87589.11,60268.78,25256.14285714286,15432.352,28624.87327811119,Tuesday,January,0,17490.82
2011-01-26,17490.82,24119.3,21646.78,17153.94,16189.027142857143,16236.328666666666,8724.541328375035,Wednesday,January,0,22157.03
2011-01-27,22157.03,17490.82,15244.73,15171.31,15595.31857142857,16819.356,8427.592555230774,Thursday,January,0,17273.5
2011-01-28,17273.5,22157.03,24279.76,39532.02,16582.79,17557.923666666666,8777.36998794439,Friday,January,0,0.0
2011-01-29,0.0,17273.5,0.0,0.0,15581.895714285713,18133.707,8128.904712573242,Saturday,January,1,6615.75
2011-01-30,6615.75,0.0,10400.25,7242.06,15581.895714285713,18133.707,8128.904712573242,Sunday,January,1,18818.08
2011-01-31,18818.08,6615.75,17632.37,16597.35,15041.252857142856,18354.232,8640.70603524527,Monday,January,0,26376.5
2011-02-01,26376.5,18818.08,24119.3,87589.11,15210.64,18981.501333333334,8711.300093508828,Tuesday,February,0,17145.23
2011-02-02,17145.23,26376.5,17490.82,21646.78,15533.097142857141,19860.718,9127.84067378611,Wednesday,February,0,22184.0
2011-02-03,22184.0,17145.23,22157.03,15244.73,15483.727142857142,20432.22566666667,9116.41453625953,Thursday,February,0,18114.31
2011-02-04,18114.31,22184.0,17273.5,24279.76,15487.58,20767.510333333335,9119.710022866238,Friday,February,0,0.0
