forecast_date,predicted_revenue,day_of_week,weekend
2011-12-10,11494.219850000001,Saturday,1
2011-12-11,24967.06665000002,Sunday,1
2011-12-12,23707.49780499998,Monday,0
2011-12-13,25253.10735499999,Tuesday,0
2011-12-14,31396.847499999963,Wednesday,0
2011-12-15,23376.295649999996,Thursday,0
2011-12-16,0.0,Friday,0
2011-12-17,23174.025950000007,Saturday,1
2011-12-18,21861.64051500001,Sunday,1
2011-12-19,31454.185519999963,Monday,0
2011-12-20,33901.29780999997,Tuesday,0
2011-12-21,34325.30489999996,Wednesday,0
2011-12-22,32701.466104999952,Thursday,0
2011-12-23,0.0,Friday,0
2011-12-24,20836.93330000001,Saturday,1
2011-12-25,22522.379360000003,Sunday,1
2011-12-26,28548.357414999966,Monday,0
2011-12-27,29009.952849999972,Tuesday,0
2011-12-28,35893.98509999996,Wednesday,0
2011-12-29,28004.87510499997,Thursday,0
2011-12-30,0.0,Friday,0
2011-12-31,22875.970860000012,Saturday,1
2012-01-01,22021.38116,Sunday,1
2012-01-02,33699.23066499999,Monday,0
2012-01-03,33620.854999999974,Tuesday,0
2012-01-04,29701.038049999952,Wednesday,0
2012-01-05,35451.274450000004,Thursday,0
2012-01-06,0.0,Friday,0
2012-01-07,22909.927060000016,Saturday,1
2012-01-08,23117.18806000002,Sunday,1
