InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536414,22139,Unknown,56,2010-12-01 11:52:00,0.0,Unknown,United Kingdom
536545,21134,Unknown,1,2010-12-01 14:32:00,0.0,Unknown,United Kingdom
536546,22145,Unknown,1,2010-12-01 14:33:00,0.0,Unknown,United Kingdom
536547,37509,Unknown,1,2010-12-01 14:33:00,0.0,Unknown,United Kingdom
536549,85226A,Unknown,1,2010-12-01 14:34:00,0.0,Unknown,United Kingdom
536550,85044,Unknown,1,2010-12-01 14:34:00,0.0,Unknown,United Kingdom
536552,20950,Unknown,1,2010-12-01 14:34:00,0.0,Unknown,United Kingdom
536553,37461,Unknown,3,2010-12-01 14:35:00,0.0,Unknown,United Kingdom
536554,84670,Unknown,23,2010-12-01 14:35:00,0.0,Unknown,United Kingdom
536589,21777,Unknown,-10,2010-12-01 16:50:00,0.0,Unknown,United Kingdom
536764,84952C,Unknown,-38,2010-12-02 14:42:00,0.0,Unknown,United Kingdom
536765,84952C,Unknown,19,2010-12-02 14:43:00,0.0,Unknown,United Kingdom
536941,22734,Amazon,20,2010-12-03 12:08:00,0.0,Unknown,United Kingdom
536942,22139,Amazon,15,2010-12-03 12:08:00,0.0,Unknown,United Kingdom
536995,35951,Unknown,57,2010-12-03 15:29:00,0.0,Unknown,United Kingdom
536996,22712,Unknown,-20,2010-12-03 15:30:00,0.0,Unknown,United Kingdom
536997,22028,Unknown,-20,2010-12-03 15:30:00,0.0,Unknown,United Kingdom
536998,85067,Unknown,-6,2010-12-03 15:30:00,0.0,Unknown,United Kingdom
536999,21421,Unknown,110,2010-12-03 15:32:00,0.0,Unknown,United Kingdom
537000,21414,Unknown,-22,2010-12-03 15:32:00,0.0,Unknown,United Kingdom
537001,21653,Unknown,-6,2010-12-03 15:33:00,0.0,Unknown,United Kingdom
537002,21651,Unknown,70,2010-12-03 15:33:00,0.0,Unknown,United Kingdom
537003,85126,Unknown,-2,2010-12-03 15:33:00,0.0,Unknown,United Kingdom
537004,21814,Unknown,-30,2010-12-03 15:34:00,0.0,Unknown,United Kingdom
537005,21692,Unknown,-70,2010-12-03 15:35:00,0.0,Unknown,United Kingdom
537006,21648,Unknown,-130,2010-12-03 15:36:00,0.0,Unknown,United Kingdom
537007,21172,Unknown,-80,2010-12-03 15:36:00,0.0,Unknown,United Kingdom
537008,21161,Unknown,-120,2010-12-03 15:37:00,0.0,Unknown,United Kingdom
537009,84534B,Unknown,-80,2010-12-03 15:38:00,0.0,Unknown,United Kingdom
537010,22162,Unknown,-40,2010-12-03 15:38:00,0.0,Unknown,United Kingdom
537011,22139,Unknown,-5,2010-12-03 15:38:00,0.0,Unknown,United Kingdom
537012,21535,Unknown,-12,2010-12-03 15:39:00,0.0,Unknown,United Kingdom
537013,35965,Unknown,-25,2010-12-03 15:40:00,0.0,Unknown,United Kingdom
537014,21040,Unknown,-20,2010-12-03 15:40:00,0.0,Unknown,United Kingdom
537015,37464,Unknown,-14,2010-12-03 15:41:00,0.0,Unknown,United Kingdom
537016,21836,Unknown,-15,2010-12-03 15:41:00,0.0,Unknown,United Kingdom
537017,47556B,Unknown,-69,2010-12-03 15:41:00,0.0,Unknown,United Kingdom
537018,84562A,Unknown,-3,2010-12-03 15:42:00,0.0,Unknown,United Kingdom
537019,37474,Unknown,-15,2010-12-03 15:43:00,0.0,Unknown,United Kingdom
537020,21807,Unknown,-30,2010-12-03 15:43:00,0.0,Unknown,United Kingdom
537021,21011,Unknown,-20,2010-12-03 15:43:00,0.0,Unknown,United Kingdom
537027,18098C,Unknown,-140,2010-12-03 16:36:00,0.0,Unknown,United Kingdom
537028,21696,Unknown,-320,2010-12-03 16:36:00,0.0,Unknown,United Kingdom
537029,37476,Unknown,-6,2010-12-03 16:37:00,0.0,Unknown,United Kingdom
537032,21275,?,-30,2010-12-03 16:50:00,0.0,Unknown,United Kingdom
537197,22841,Round Cake Tin Vintage Green,1,2010-12-05 14:02:00,0.0,12647.0,Germany
537361,21777,Unknown,5,2010-12-06 12:34:00,0.0,Unknown,United Kingdom
537363,84569B,Unknown,-20,2010-12-06 12:35:00,0.0,Unknown,United Kingdom
537364,21027,Unknown,-70,2010-12-06 12:36:00,0.0,Unknown,United Kingdom
537401,84898F,Unknown,-24,2010-12-06 14:37:00,0.0,Unknown,United Kingdom
537425,84968F,Check,-20,2010-12-06 15:35:00,0.0,Unknown,United Kingdom
537426,84968E,Check,-35,2010-12-06 15:36:00,0.0,Unknown,United Kingdom
537427,84968B,Unknown,-21,2010-12-06 15:37:00,0.0,Unknown,United Kingdom
537430,85215,Unknown,120,2010-12-06 16:05:00,0.0,Unknown,United Kingdom
